state_alpha,statisticcat_desc,domaincat_desc,watershed_desc,domain_desc,state_fips_code,sector_desc,county_ansi,county_code,prodn_practice_desc,county_name,country_code,week_ending,source_desc,freq_desc,util_practice_desc,year,unit_desc,Value,region_desc,short_desc,begin_code,zip_5,commodity_desc,asd_code,agg_level_desc,class_desc,reference_period_desc,CV (%),congr_district_code,location_desc,watershed_code,state_ansi,country_name,state_name,end_code,group_desc,asd_desc,load_time
DE,PRODUCTION,NOT SPECIFIED,,TOTAL,10,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,4359,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,(H),,DELAWARE,00000000,10,UNITED STATES,DELAWARE,00,SPECIALTY,,2018-02-01 00:00:00
DE,PRODUCTION,NOT SPECIFIED,,TOTAL,10,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,7060,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,32.2,,DELAWARE,00000000,10,UNITED STATES,DELAWARE,00,SPECIALTY,,2012-12-31 00:00:00
DE,PRODUCTION,NOT SPECIFIED,,TOTAL,10,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,5414,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,DELAWARE,00000000,10,UNITED STATES,DELAWARE,00,SPECIALTY,,2012-01-01 00:00:00
DE,PRODUCTION,NOT SPECIFIED,,TOTAL,10,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,5066,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,DELAWARE,00000000,10,UNITED STATES,DELAWARE,00,SPECIALTY,,2012-01-01 00:00:00
DE,PRODUCTION,NOT SPECIFIED,,TOTAL,10,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,21339,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,DELAWARE,00000000,10,UNITED STATES,DELAWARE,00,SPECIALTY,,2012-01-01 00:00:00
FL,PRODUCTION,NOT SPECIFIED,,TOTAL,12,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,9560381,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,10.3,,FLORIDA,00000000,12,UNITED STATES,FLORIDA,00,SPECIALTY,,2018-02-01 00:00:00
FL,PRODUCTION,NOT SPECIFIED,,TOTAL,12,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,11145626,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,8.0,,FLORIDA,00000000,12,UNITED STATES,FLORIDA,00,SPECIALTY,,2012-12-31 00:00:00
FL,PRODUCTION,NOT SPECIFIED,,TOTAL,12,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,10657946,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,FLORIDA,00000000,12,UNITED STATES,FLORIDA,00,SPECIALTY,,2012-01-01 00:00:00
FL,PRODUCTION,NOT SPECIFIED,,TOTAL,12,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,17543591,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,FLORIDA,00000000,12,UNITED STATES,FLORIDA,00,SPECIALTY,,2012-01-01 00:00:00
FL,PRODUCTION,NOT SPECIFIED,,TOTAL,12,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,19562526,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,FLORIDA,00000000,12,UNITED STATES,FLORIDA,00,SPECIALTY,,2012-01-01 00:00:00
GA,PRODUCTION,NOT SPECIFIED,,TOTAL,13,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,3014938,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,7.0,,GEORGIA,00000000,13,UNITED STATES,GEORGIA,00,SPECIALTY,,2018-02-01 00:00:00
GA,PRODUCTION,NOT SPECIFIED,,TOTAL,13,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,2999818,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,4.4,,GEORGIA,00000000,13,UNITED STATES,GEORGIA,00,SPECIALTY,,2012-12-31 00:00:00
GA,PRODUCTION,NOT SPECIFIED,,TOTAL,13,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,3431963,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,GEORGIA,00000000,13,UNITED STATES,GEORGIA,00,SPECIALTY,,2012-01-01 00:00:00
GA,PRODUCTION,NOT SPECIFIED,,TOTAL,13,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,2332694,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,GEORGIA,00000000,13,UNITED STATES,GEORGIA,00,SPECIALTY,,2012-01-01 00:00:00
GA,PRODUCTION,NOT SPECIFIED,,TOTAL,13,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,3411178,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,GEORGIA,00000000,13,UNITED STATES,GEORGIA,00,SPECIALTY,,2012-01-01 00:00:00
HI,PRODUCTION,NOT SPECIFIED,,TOTAL,15,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,2668107,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,10.4,,HAWAII,00000000,15,UNITED STATES,HAWAII,00,SPECIALTY,,2018-02-01 00:00:00
HI,PRODUCTION,NOT SPECIFIED,,TOTAL,15,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,591628,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,5.7,,HAWAII,00000000,15,UNITED STATES,HAWAII,00,SPECIALTY,,2012-12-31 00:00:00
HI,PRODUCTION,NOT SPECIFIED,,TOTAL,15,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,919104,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,HAWAII,00000000,15,UNITED STATES,HAWAII,00,SPECIALTY,,2012-01-01 00:00:00
HI,PRODUCTION,NOT SPECIFIED,,TOTAL,15,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,966138,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,HAWAII,00000000,15,UNITED STATES,HAWAII,00,SPECIALTY,,2012-01-01 00:00:00
HI,PRODUCTION,NOT SPECIFIED,,TOTAL,15,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,949769,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,HAWAII,00000000,15,UNITED STATES,HAWAII,00,SPECIALTY,,2012-01-01 00:00:00
ID,PRODUCTION,NOT SPECIFIED,,TOTAL,16,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,4481733,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,9.4,,IDAHO,00000000,16,UNITED STATES,IDAHO,00,SPECIALTY,,2018-02-01 00:00:00
ID,PRODUCTION,NOT SPECIFIED,,TOTAL,16,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,2760492,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,13.9,,IDAHO,00000000,16,UNITED STATES,IDAHO,00,SPECIALTY,,2012-12-31 00:00:00
ID,PRODUCTION,NOT SPECIFIED,,TOTAL,16,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,3750561,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,IDAHO,00000000,16,UNITED STATES,IDAHO,00,SPECIALTY,,2012-01-01 00:00:00
ID,PRODUCTION,NOT SPECIFIED,,TOTAL,16,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,4856780,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,IDAHO,00000000,16,UNITED STATES,IDAHO,00,SPECIALTY,,2012-01-01 00:00:00
ID,PRODUCTION,NOT SPECIFIED,,TOTAL,16,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,7031198,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,IDAHO,00000000,16,UNITED STATES,IDAHO,00,SPECIALTY,,2012-01-01 00:00:00
IL,PRODUCTION,NOT SPECIFIED,,TOTAL,17,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,486533,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,12.4,,ILLINOIS,00000000,17,UNITED STATES,ILLINOIS,00,SPECIALTY,,2018-02-01 00:00:00
IL,PRODUCTION,NOT SPECIFIED,,TOTAL,17,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,438029,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,24.7,,ILLINOIS,00000000,17,UNITED STATES,ILLINOIS,00,SPECIALTY,,2012-12-31 00:00:00
